date,city_name,product_id,product_name,category,total_orders,total_sales,stock_quantity,instock_darkstores,OOS_darkstores,total_darkstores
9/10/2025,mumbai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,43,8944,125,66,28,94
9/2/2025,delhi,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,73,14527,306,127,21,148
9/17/2025,delhi,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,59,11741,318,132,16,148
9/7/2025,hyderabad,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,19,3800,136,46,33,79
9/22/2025,chennai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,0,0,0,0,54,54
9/26/2025,bangalore,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,0,0,360,137,21,158
9/3/2025,delhi,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,57,11343,293,126,22,148
9/6/2025,hyderabad,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,18,3600,152,49,30,79
9/17/2025,bangalore,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,26,7618,252,105,53,158
9/12/2025,chennai,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,2,680,90,42,12,54
9/19/2025,bangalore,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,26,7306,329,129,29,158
9/11/2025,mumbai,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,7,2380,65,41,53,94
9/6/2025,delhi,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,47,14899,429,132,16,148
9/14/2025,delhi,SKU8,Gentle Wet Baby Wipes with Aloe Vera - Pack of 5,Baby Wipes,37,11285,326,120,28,148
9/5/2025,hyderabad,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,8,2016,91,52,27,79
9/11/2025,chennai,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,4,1352,48,33,21,54
9/13/2025,bangalore,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,11,2739,241,139,19,158
9/8/2025,mumbai,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,22,7458,120,64,30,94
9/18/2025,hyderabad,SKU3,Mild Baby Laundry Detergent Refill,Hygiene,8,1776,85,59,20,79
9/11/2025,mumbai,SKU6,Mild Baby Laundry Detergent,Hygiene,7,3521,57,35,59,94
9/21/2025,delhi,SKU6,Mild Baby Laundry Detergent,Hygiene,18,6282,156,81,67,148
9/7/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,19,6726,240,151,7,158
9/13/2025,chennai,SKU6,Mild Baby Laundry Detergent,Hygiene,3,1047,61,47,7,54
9/7/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,16,1424,137,61,18,79
9/11/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,6,546,92,48,6,54
9/19/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,18,1638,234,73,6,79
9/13/2025,delhi,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,10,910,136,86,62,148
9/23/2025,delhi,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,10,780,134,76,72,148
9/22/2025,bangalore,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,15,1215,331,132,26,158
9/1/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,16,1424,218,72,7,79
9/6/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,7,623,95,50,4,54
9/17/2025,mumbai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,13,1183,74,56,38,94
9/1/2025,mumbai,SKU5,Nail Clipper,Hygiene,9,1629,153,82,12,94
9/21/2025,chennai,SKU5,Nail Clipper,Hygiene,5,815,44,19,35,54
9/12/2025,delhi,SKU5,Nail Clipper,Hygiene,19,3534,186,137,11,148
9/15/2025,delhi,SKU5,Nail Clipper,Hygiene,20,3560,169,114,34,148
9/17/2025,bangalore,SKU5,Nail Clipper,Hygiene,14,2282,327,138,20,158
9/22/2025,mumbai,SKU5,Nail Clipper,Hygiene,6,978,122,63,31,94
9/4/2025,delhi,SKU5,Nail Clipper,Hygiene,13,2353,209,133,15,148
9/2/2025,delhi,SKU5,Nail Clipper,Hygiene,18,3258,206,133,15,148
9/10/2025,delhi,SKU5,Nail Clipper,Hygiene,14,2604,184,130,18,148
9/9/2025,bangalore,SKU5,Nail Clipper,Hygiene,20,3720,389,150,8,158
9/4/2025,hyderabad,SKU5,Nail Clipper,Hygiene,11,1991,243,77,2,79
9/20/2025,hyderabad,SKU5,Nail Clipper,Hygiene,11,1793,207,70,9,79
9/9/2025,mumbai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,5,945,80,52,42,94
9/18/2025,hyderabad,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,21,3906,202,74,5,79
9/23/2025,hyderabad,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,23,3841,253,76,3,79
9/11/2025,mumbai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,13,2457,73,52,42,94
9/6/2025,bangalore,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,22,4092,346,145,13,158
9/13/2025,bangalore,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,15,2985,248,142,16,158
9/10/2025,delhi,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,34,6630,213,116,32,148
9/5/2025,mumbai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,20,3760,125,67,27,94
9/15/2025,hyderabad,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,12,2388,71,42,37,79
9/20/2025,bangalore,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,16,3184,303,136,22,158
9/15/2025,delhi,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,20,3980,121,81,67,148
9/26/2025,mumbai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,0,0,161,72,22,94
9/9/2025,mumbai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,14,2744,103,59,35,94
9/24/2025,delhi,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,21,3801,187,104,44,148
9/2/2025,bangalore,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,16,3184,249,151,7,158
9/10/2025,mumbai,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,6,1380,96,57,37,94
9/11/2025,chennai,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,2,460,58,39,15,54
9/17/2025,hyderabad,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,11,2178,108,59,20,79
9/23/2025,delhi,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,24,4488,207,110,38,148
9/14/2025,hyderabad,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,11,2178,63,40,39,79
9/4/2025,bangalore,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,8,1592,240,147,11,158
9/20/2025,bangalore,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,13,2574,252,142,16,158
9/7/2025,bangalore,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,21,4179,239,144,14,158
9/25/2025,delhi,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,113,22487,503,140,8,148
9/21/2025,delhi,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,107,21293,454,134,14,148
9/3/2025,mumbai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,47,9447,232,81,13,94
9/7/2025,bangalore,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,78,15678,669,150,8,158
9/3/2025,hyderabad,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,42,8442,300,70,9,79
